Distance,Score,Heading,Savings
10,5,315.0,227.1686274509805
12,5,0.0,270.32941176470683
12,5,45.0,305.7058823529401
12,5,90.0,328.1725490196079
12,5,135.0,244.66274509803958
12,5,180.0,316.7607843137258
12,5,225.0,287.5647058823528
12,5,270.0,286.6823529411767
12,5,315.0,228.6588235294118
14,5,0.0,275.8196078431383
14,5,45.0,304.5450980392153
14,5,90.0,331.0588235294117
14,5,135.0,238.188235294118
14,5,180.0,322.41176470588283
14,5,225.0,281.0666666666666
14,5,270.0,272.88235294117703
14,5,315.0,227.494117647059
16,5,0.0,270.38039215686354
16,5,45.0,304.1294117647055
16,5,90.0,321.9686274509804
16,5,135.0,239.6980392156866
16,5,180.0,316.3372549019613
16,5,225.0,275.8509803921569
16,5,270.0,273.5647058823533
16,5,315.0,229.6509803921572
2,6,0.0,162.46666666666704
2,6,45.0,197.10196078431431
2,6,90.0,208.80784313725553
2,6,135.0,163.46666666666732
2,6,180.0,192.17647058823582
2,6,225.0,187.74117647058836
2,6,270.0,163.97647058823551
2,6,315.0,128.31764705882392
4,6,0.0,195.13333333333384
4,6,45.0,302.10980392156705
4,6,90.0,247.07450980392196
4,6,135.0,201.55294117647057
4,6,180.0,239.34901960784347
4,6,225.0,236.15686274509815
4,6,270.0,198.4470588235295
4,6,315.0,159.00392156862765
6,6,0.0,228.2509803921576
6,6,45.0,314.57254901960647
6,6,90.0,303.7882352941179
6,6,135.0,240.37254901960787
6,6,180.0,301.60784313725486
6,6,225.0,278.32156862745074
6,6,270.0,229.54117647058845
6,6,315.0,204.07058823529422
8,6,0.0,264.5568627450987
8,6,45.0,323.9764705882341
8,6,90.0,320.7450980392159
8,6,135.0,245.88235294117672
8,6,180.0,319.23137254901985
8,6,225.0,290.20392156862727
8,6,270.0,268.22352941176507
8,6,315.0,229.63137254901974
10,6,0.0,267.24313725490276
10,6,45.0,322.30196078431226
10,6,90.0,327.6313725490193
10,6,135.0,259.8745098039223
10,6,180.0,321.0039215686276
10,6,225.0,293.1882352941176
10,6,270.0,287.1803921568628
10,6,315.0,230.53725490196115
12,6,0.0,275.86274509803997
12,6,45.0,321.4196078431359
12,6,90.0,330.2588235294116
12,6,135.0,252.4431372549025
12,6,180.0,323.34901960784356
12,6,225.0,286.8274509803919
12,6,270.0,291.043137254902
12,6,315.0,227.8784313725491
14,6,0.0,271.0117647058833
14,6,45.0,306.75294117646956
14,6,90.0,328.23529411764713
14,6,135.0,244.66274509803958
14,6,180.0,321.945098039216
14,6,225.0,286.83529411764687
14,6,270.0,286.70588235294144
14,6,315.0,229.71764705882353
16,6,0.0,275.22352941176575
16,6,45.0,303.74509803921467
16,6,90.0,330.1607843137255
16,6,135.0,240.3960784313728
16,6,180.0,326.3725490196084
16,6,225.0,286.15294117647045
16,6,270.0,280.28627450980446
16,6,315.0,229.4549019607845
2,7,0.0,162.46666666666704
2,7,45.0,196.3215686274514
2,7,90.0,208.80784313725553
2,7,135.0,163.46666666666732
2,7,180.0,192.17647058823582
2,7,225.0,185.61960784313735
2,7,270.0,162.58039215686296
2,7,315.0,79.52549019607864
4,7,0.0,191.21176470588284
4,7,45.0,287.4705882352934
4,7,90.0,228.19215686274558
4,7,135.0,192.54509803921576
4,7,180.0,213.67450980392206
4,7,225.0,233.0509803921571
4,7,270.0,194.5019607843138
4,7,315.0,157.2000000000002
6,7,0.0,214.12549019607917
6,7,45.0,314.2392156862731
6,7,90.0,283.1686274509809
6,7,135.0,236.8
6,7,180.0,279.7843137254901
6,7,225.0,267.3529411764706
6,7,270.0,212.30588235294127
6,7,315.0,183.56078431372575
8,7,0.0,260.1450980392166
8,7,45.0,325.25098039215544
8,7,90.0,310.9137254901965
8,7,135.0,244.8000000000003
8,7,180.0,314.0509803921572
8,7,225.0,300.2235294117647
8,7,270.0,256.2549019607846
8,7,315.0,224.68627450980412
10,7,0.0,261.7490196078438
10,7,45.0,327.56470588235146
10,7,90.0,322.7411764705878
10,7,135.0,257.9803921568632
10,7,180.0,320.58039215686307
10,7,225.0,291.3843137254901
10,7,270.0,273.48235294117654
10,7,315.0,232.5490196078434
12,7,0.0,273.8274509803929
12,7,45.0,321.41960784313574
12,7,90.0,326.1372549019606
12,7,135.0,255.76470588235338
12,7,180.0,327.2313725490201
